datetime,total_real_power,reactive_power,voltage,current_intensity,kitchen,laundry_room,temp_control
2006-12-17 23:00:00,26.264,13.308,245.734,119.8,0.0,2.88,0.0
2006-12-18 00:00:00,16.582,5.944,244.60750000000002,73.4,0.0,0.12,0.0
2006-12-18 01:00:00,18.798,9.114,243.51933333333332,85.0,0.0,2.1,0.0
2006-12-18 02:00:00,17.068,6.544,246.89100000000002,75.39999999999999,0.0,0.0,0.0
2006-12-18 03:00:00,18.596,8.866,245.73183333333333,84.0,0.0,2.04,0.0
2006-12-18 04:00:00,61.58,4.8,245.507,250.6,0.0,0.24,45.18
2006-12-18 05:00:00,17.61,7.316,245.2531666666667,77.6,0.0,1.68,0.0
2006-12-18 06:00:00,36.6,6.774,245.70433333333332,156.0,0.0,0.3,0.0
2006-12-18 07:00:00,147.026,9.18,240.96233333333333,613.2,0.3,1.6199999999999999,40.68
2006-12-18 08:00:00,124.928,4.4239999999999995,237.88033333333334,523.6,44.88,0.12,62.46
2006-12-18 09:00:00,97.76,5.11,237.40466666666669,409.0,18.6,1.74,62.160000000000004
2006-12-18 10:00:00,78.578,3.17,239.0805,325.6,0.0,0.0,63.0
2006-12-18 11:00:00,93.716,7.64,239.77100000000002,388.2,0.0,1.8599999999999999,63.36
2006-12-18 12:00:00,105.364,5.238,242.57999999999998,434.8,0.0,0.0,64.86
2006-12-18 13:00:00,100.924,7.59,241.95416666666668,416.4,0.0,1.92,62.52
2006-12-18 14:00:00,103.982,2.958,242.19650000000001,425.8,0.0,0.0,62.580000000000005
2006-12-18 15:00:00,107.05799999999999,6.244,242.4235,438.6,0.0,1.8599999999999999,64.74000000000001
2006-12-18 16:00:00,116.958,12.266,242.38066666666666,485.8,0.0,0.0,64.74000000000001
2006-12-18 17:00:00,129.294,5.868,238.72916666666666,539.6,0.0,1.2,62.82
2006-12-18 18:00:00,144.152,4.746,236.66850000000002,605.0,0.0,0.8999999999999999,60.9
2006-12-18 19:00:00,156.87,12.046,235.32916666666668,671.4,0.0,32.760000000000005,0.0
2006-12-18 20:00:00,183.034,7.2219999999999995,234.52433333333335,782.8,0.0,1.7999999999999998,47.7
2006-12-18 21:00:00,130.184,4.304,237.59083333333334,554.4,0.0,0.0,13.38
2006-12-18 22:00:00,104.328,6.478,240.2115,435.0,0.0,31.860000000000003,0.0
2006-12-18 23:00:00,92.836,7.95,242.65933333333334,396.0,0.0,73.14,0.0
2006-12-19 00:00:00,50.228,5.57,242.07116666666667,212.6,0.0,3.48,29.34
2006-12-19 01:00:00,21.182,4.552,241.80833333333334,94.2,0.0,0.8999999999999999,2.64
2006-12-19 02:00:00,19.634,6.344,245.7795,87.8,0.0,2.28,0.0
2006-12-19 03:00:00,18.498,4.38,244.46316666666664,81.8,0.0,0.6,0.0
2006-12-19 04:00:00,19.67,6.148,244.1865,90.0,0.0,2.58,0.0
2006-12-19 05:00:00,18.4,4.252,243.07583333333332,82.8,0.0,0.6,0.0
2006-12-19 06:00:00,47.78,6.4079999999999995,242.02966666666669,208.0,0.0,2.46,0.0
2006-12-19 07:00:00,107.138,5.066,239.42616666666666,452.6,0.0,0.0,26.64
2006-12-19 08:00:00,232.742,7.346,236.14633333333333,992.4,33.660000000000004,94.26,61.56
2006-12-19 09:00:00,97.066,5.248,239.57233333333335,417.8,16.68,51.72,11.76
2006-12-19 10:00:00,26.228,7.546,242.30566666666667,116.6,0.0,5.1,0.0
2006-12-19 11:00:00,139.298,5.072,240.325,591.8,0.0,123.66,0.0
2006-12-19 12:00:00,25.84,7.962,242.9586666666667,115.4,0.0,10.5,0.0
2006-12-19 13:00:00,18.028,4.906,243.6025,77.6,0.0,2.2199999999999998,0.0
2006-12-19 14:00:00,18.128,7.132,246.94583333333333,80.0,0.0,2.6999999999999997,0.0
2006-12-19 15:00:00,25.282,4.852,241.74066666666667,108.4,0.0,0.6,7.9799999999999995
2006-12-19 16:00:00,82.328,5.5,242.71433333333334,336.8,0.0,2.58,64.92
2006-12-19 17:00:00,126.69,8.666,238.60666666666665,530.6,0.0,0.6,62.760000000000005
2006-12-19 18:00:00,132.282,6.198,237.6405,555.4,0.0,2.6399999999999997,62.28
2006-12-19 19:00:00,110.526,4.376,241.07999999999998,456.2,0.0,0.18,41.940000000000005
2006-12-19 20:00:00,176.432,14.242,241.32816666666668,748.8,0.0,96.84,0.0
2006-12-19 21:00:00,86.572,6.39,240.87,380.6,0.0,44.82,0.0
2006-12-19 22:00:00,43.2,8.76,242.67933333333335,180.8,0.0,4.2,0.0
2006-12-19 23:00:00,23.022,4.026,246.62716666666665,95.0,0.0,0.6,0.0
2006-12-20 00:00:00,27.59,8.76,245.81133333333335,119.2,0.0,2.58,0.0
2006-12-20 01:00:00,15.52,3.4,243.80533333333332,66.8,0.0,0.6,0.0
2006-12-20 02:00:00,47.062,7.416,245.5675,194.6,0.0,2.52,28.56
2006-12-20 03:00:00,18.602,4.108,246.1508333333333,80.6,0.0,0.6,2.52
2006-12-20 04:00:00,17.34,5.846,246.43366666666668,74.8,0.0,1.68,0.0
2006-12-20 05:00:00,15.762,4.632,244.7955,67.2,0.0,0.72,0.0
2006-12-20 06:00:00,17.016,3.994,244.074,70.8,0.0,0.0,0.0
2006-12-20 07:00:00,91.598,11.538,243.315,386.2,0.0,1.8599999999999999,16.8
2006-12-20 08:00:00,175.056,5.292,239.79233333333335,732.2,0.0,34.62,63.42
2006-12-20 09:00:00,83.13199999999999,6.502,243.12283333333335,337.59999999999997,0.0,1.92,65.16
2006-12-20 10:00:00,90.61800000000001,2.83,240.5805,375.0,0.0,11.64,63.78
2006-12-20 11:00:00,173.544,9.912,240.51316666666668,724.4,0.0,90.6,63.720000000000006
2006-12-20 12:00:00,85.262,4.328,242.6063333333333,349.6,0.0,0.3,64.86
2006-12-20 13:00:00,85.704,6.61,242.46766666666664,352.8,0.0,1.68,64.8
2006-12-20 14:00:00,77.694,5.56,244.0345,319.2,0.0,0.18,59.7
2006-12-20 15:00:00,16.868,4.2860000000000005,245.71916666666667,74.2,0.0,0.72,0.0
2006-12-20 16:00:00,28.106,6.55,244.1135,124.2,0.0,1.14,0.0
2006-12-20 17:00:00,34.410000000000004,4.642,242.92066666666668,142.6,0.0,0.0,0.0
2006-12-20 18:00:00,170.21,9.478,239.24066666666667,713.6,0.0,1.8599999999999999,37.86
2006-12-20 19:00:00,194.918,5.2620000000000005,236.73983333333334,822.6,0.0,0.0,61.86
2006-12-20 20:00:00,214.528,15.932,236.34516666666664,908.2,0.0,1.8599999999999999,61.620000000000005
2006-12-20 21:00:00,218.764,9.629999999999999,235.99233333333333,924.2,0.0,0.0,61.44
2006-12-20 22:00:00,183.538,5.286,238.86049999999997,765.1999999999999,0.0,1.3199999999999998,62.940000000000005
2006-12-20 23:00:00,142.906,9.204,242.39116666666666,587.2,0.0,0.48,64.74000000000001
2006-12-21 00:00:00,92.152,9.332,243.42583333333332,379.4,0.0,0.0,65.28
2006-12-21 01:00:00,83.878,7.3100000000000005,243.69816666666665,341.2,0.0,1.8599999999999999,65.46000000000001
2006-12-21 02:00:00,76.494,2.358,243.65366666666665,309.0,0.0,0.0,61.92
2006-12-21 03:00:00,18.156,7.192,244.56716666666668,80.0,0.0,1.7999999999999998,0.0
2006-12-21 04:00:00,14.804,2.55,244.74016666666665,61.2,0.0,0.0,0.0
2006-12-21 05:00:00,17.442,6.35,243.9495,75.8,0.0,1.38,0.0
2006-12-21 06:00:00,17.74,3.19,244.8505,73.2,0.0,0.48,0.0
2006-12-21 07:00:00,76.828,5.03,241.29366666666664,322.2,0.0,0.0,0.0
2006-12-21 08:00:00,93.782,9.18,239.4945,395.6,0.0,1.7999999999999998,18.3
2006-12-21 09:00:00,154.548,3.102,238.47766666666666,646.8,39.96,33.72,62.760000000000005
2006-12-21 10:00:00,106.062,4.248,239.70600000000002,444.2,34.14,1.8599999999999999,53.400000000000006
2006-12-21 11:00:00,31.01,6.47,241.58793103448278,138.2,0.0,0.0,0.0
2006-12-21 12:00:00,49.147999999999996,7.87,242.67416666666668,215.0,0.0,27.599999999999998,0.0
2006-12-21 13:00:00,101.294,3.87,241.79783333333336,423.6,0.0,71.52,13.98
2006-12-21 14:00:00,61.434000000000005,7.11,243.3195,260.2,0.0,4.32,30.0
2006-12-21 15:00:00,18.444,2.742,242.90633333333332,81.8,0.0,0.6,0.0
2006-12-21 16:00:00,81.604,5.814,239.90633333333332,337.4,0.0,2.58,62.220000000000006
2006-12-21 17:00:00,105.158,8.882,235.01833333333335,452.0,0.0,0.6,43.14
2006-12-21 18:00:00,146.598,7.19,233.89433333333332,625.0,0.0,2.52,60.36
2006-12-21 19:00:00,131.828,5.666,235.00050000000002,561.4,16.86,0.6,42.12
2006-12-21 20:00:00,146.242,15.076,234.50033333333334,626.4,14.94,2.16,15.42
2006-12-21 21:00:00,58.936,2.658,238.31216666666666,246.2,0.0,0.12,30.900000000000002
2006-12-21 22:00:00,16.816,5.608,242.8665,72.4,0.0,0.72,0.0
2006-12-21 23:00:00,16.226,5.368,245.35033333333334,70.4,0.0,1.14,0.0
2006-12-22 00:00:00,16.016,4.748,245.67816666666667,68.6,0.0,0.0,0.0
2006-12-22 01:00:00,16.32,5.562,244.45383333333334,70.4,0.0,1.8599999999999999,0.0
2006-12-22 02:00:00,16.058,4.756,246.83783333333335,68.6,0.0,0.0,0.0
2006-12-22 03:00:00,16.432,5.612,245.79283333333333,70.4,0.0,1.8599999999999999,0.0
2006-12-22 04:00:00,15.856,4.336,245.3595,68.2,0.0,0.0,0.0
2006-12-22 05:00:00,48.410000000000004,5.044,245.11933333333334,199.8,0.0,1.38,32.04
2006-12-22 06:00:00,28.778,5.166,245.3093333333333,122.0,0.0,0.48,0.0
2006-12-22 07:00:00,103.392,6.364,240.929,432.4,0.0,0.0,13.440000000000001
2006-12-22 08:00:00,164.664,6.482,240.45033333333333,685.6,40.019999999999996,1.8599999999999999,63.78
2006-12-22 09:00:00,113.778,2.732,239.54966666666667,472.2,36.059999999999995,0.0,63.300000000000004
2006-12-22 10:00:00,80.69800000000001,5.666,239.67933333333335,334.2,0.0,1.7999999999999998,63.300000000000004
2006-12-22 11:00:00,75.154,4.842,238.3455,315.6,13.5,0.0,45.72
2006-12-22 12:00:00,73.708,23.04,240.199,331.0,38.279999999999994,2.04,0.0
2006-12-22 13:00:00,40.314,14.868,240.68583333333333,182.4,0.0,0.0,0.0
2006-12-22 14:00:00,48.934,9.702,240.8311666666667,213.0,0.0,2.04,21.720000000000002
2006-12-22 15:00:00,87.098,5.922,241.859,358.4,0.0,0.0,64.5
2006-12-22 16:00:00,94.272,8.314,241.79483333333334,388.6,0.0,1.92,64.44
2006-12-22 17:00:00,89.80799999999999,5.508,238.84466666666668,374.6,0.0,0.0,37.86
2006-12-22 18:00:00,161.218,18.338,237.5076666666667,683.4,0.0,1.8599999999999999,14.040000000000001
2006-12-22 19:00:00,236.29,14.838,237.406,992.4,0.0,0.0,62.160000000000004
2006-12-22 20:00:00,212.164,8.388,235.5305,903.0,28.14,2.04,61.26
2006-12-22 21:00:00,272.92,3.956,235.13616666666667,1167.2,33.06,0.0,60.300000000000004
2006-12-22 22:00:00,183.904,5.354,239.19966666666667,779.0,0.0,1.38,0.0
2006-12-22 23:00:00,145.152,7.368,241.92999999999998,616.0,0.0,0.48,0.0
2006-12-23 00:00:00,101.89399999999999,4.948,243.02033333333333,446.2,0.0,0.12,0.0
2006-12-23 01:00:00,103.368,7.044,243.8125,453.0,0.0,1.74,0.0
2006-12-23 02:00:00,102.04599999999999,4.088,243.84133333333332,450.6,0.0,0.0,0.0
2006-12-23 03:00:00,106.292,6.4,243.68699999999998,459.4,0.0,1.8599999999999999,0.0
2006-12-23 04:00:00,113.496,3.862,243.006,489.40000000000003,0.0,0.0,7.4399999999999995
2006-12-23 05:00:00,133.746,6.766,242.44916666666668,571.8,0.0,1.68,25.44
2006-12-23 06:00:00,98.962,4.31,242.46683333333334,434.4,0.0,0.18,0.0
2006-12-23 07:00:00,241.402,3.332,237.767,1019.0,0.0,0.0,39.06
2006-12-23 08:00:00,251.45,5.7219999999999995,239.10316666666668,1053.4,0.0,1.8599999999999999,63.0
2006-12-23 09:00:00,194.784,4.688,240.8125,811.8,0.0,0.0,63.96
2006-12-23 10:00:00,178.33,12.176,239.137,753.6,0.0,1.8599999999999999,30.96
2006-12-23 11:00:00,189.54,6.344,237.715,798.2,0.0,0.0,38.94
2006-12-23 12:00:00,175.728,5.458,238.7565,741.0,0.0,0.6,34.44
2006-12-23 13:00:00,204.378,9.702,239.85083333333333,858.8,0.0,1.26,63.42
2006-12-23 14:00:00,225.478,14.693999999999999,240.501,945.6,0.0,0.0,63.78
2006-12-23 15:00:00,242.946,19.858,241.3135,1013.8000000000001,0.0,1.8599999999999999,64.2
2006-12-23 16:00:00,260.946,24.156,240.47683333333333,1093.0,4.56,3.9,63.78
2006-12-23 17:00:00,327.152,12.958,233.64416666666665,1401.6,58.260000000000005,2.4,60.3
2006-12-23 18:00:00,232.764,5.986,238.00050000000002,981.8,0.0,0.06,62.46
2006-12-23 19:00:00,247.07,12.32,238.72933333333333,1038.0,0.0,2.16,62.88
2006-12-23 20:00:00,250.884,7.486,238.51883333333333,1055.8,0.0,1.26,62.7
2006-12-23 21:00:00,197.306,14.146,238.59466666666668,833.6,0.0,0.78,20.400000000000002
2006-12-23 22:00:00,259.676,17.342,238.19033333333334,1098.6,51.96,1.7999999999999998,0.0
2006-12-23 23:00:00,333.748,7.684,239.87150000000003,1398.0,45.36,0.12,56.400000000000006
2006-12-24 00:00:00,241.68,5.44,239.11266666666668,1024.8,0.0,1.7999999999999998,63.120000000000005
2006-12-24 01:00:00,196.542,3.106,237.61066666666665,841.0,26.22,0.12,62.28
2006-12-24 02:00:00,138.182,6.224,244.43266666666665,604.0,27.66,1.3199999999999998,13.200000000000001
2006-12-24 03:00:00,96.406,4.314,246.862,440.8,0.0,0.54,0.0
2006-12-24 04:00:00,94.566,4.074,245.86616666666666,436.0,0.0,0.18,0.0
2006-12-24 05:00:00,97.914,6.508,245.83566666666667,452.0,0.0,1.68,0.0
2006-12-24 06:00:00,113.712,3.04,245.59083333333334,506.8,0.0,0.0,0.0
2006-12-24 07:00:00,88.584,5.9799999999999995,242.79533333333333,418.2,0.0,1.8599999999999999,0.0
2006-12-24 08:00:00,85.666,3.136,241.69866666666667,395.8,0.0,0.0,0.0
2006-12-24 09:00:00,163.54,5.634,239.8898333333333,708.6,0.0,1.38,51.78
2006-12-24 10:00:00,160.52,6.378,236.69816666666665,682.6,0.0,31.200000000000003,61.800000000000004
2006-12-24 11:00:00,125.576,6.932,237.66816666666668,528.8,0.0,5.64,62.28
2006-12-24 12:00:00,90.0,13.144,236.93233333333333,386.8,0.0,22.74,7.5
2006-12-24 13:00:00,194.39600000000002,9.54,237.29633333333334,827.2,0.0,109.86,20.580000000000002
2006-12-24 14:00:00,82.292,6.564,243.928,338.6,0.0,5.52,36.18
2006-12-24 15:00:00,185.81,14.004,243.18283333333332,769.4,23.58,110.22,0.0
2006-12-24 16:00:00,120.428,7.566,243.88066666666666,498.8,24.72,3.12,34.74
2006-12-24 17:00:00,101.19,5.87,238.02033333333333,427.8,0.0,1.8599999999999999,0.0
2006-12-24 18:00:00,30.312,7.164,241.15633333333332,126.60000000000001,0.0,2.16,0.0
2006-12-24 19:00:00,27.242,3.434,241.41983333333334,111.0,0.0,0.0,0.0
2006-12-24 20:00:00,28.446,4.522,241.94233333333335,117.4,0.0,0.0,0.0
2006-12-24 21:00:00,29.041999999999998,6.038,242.20816666666667,120.2,0.0,2.1,0.0
2006-12-24 22:00:00,28.785999999999998,5.158,243.3781666666667,118.2,0.0,0.0,0.0
2006-12-24 23:00:00,29.18,6.13,243.09233333333336,120.80000000000001,0.0,1.6199999999999999,0.0
2006-12-25 00:00:00,59.974000000000004,7.708,244.10649999999998,248.8,0.0,0.54,10.620000000000001
2006-12-25 01:00:00,72.40599999999999,6.114,244.6745,295.8,0.0,0.0,41.58
2006-12-25 02:00:00,26.28,7.398,248.53633333333335,110.6,0.0,2.16,0.0
2006-12-25 03:00:00,35.398,4.422,248.28183333333334,144.0,0.0,0.0,0.0
2006-12-25 04:00:00,34.72,3.2800000000000002,248.72933333333333,140.8,0.0,0.0,0.0
2006-12-25 05:00:00,37.206,8.404,248.09466666666668,150.6,0.0,2.2199999999999998,0.0
2006-12-25 06:00:00,15.844,4.148,247.00383333333332,65.4,0.0,0.0,0.0
2006-12-25 07:00:00,40.608,3.3,243.39216666666667,170.0,0.0,0.54,1.2
2006-12-25 08:00:00,156.666,11.328,242.39916666666667,647.4,0.0,1.56,38.22
2006-12-25 09:00:00,89.608,10.936,244.18766666666667,367.6,0.0,0.0,0.0
2006-12-25 10:00:00,114.94,15.926,242.31716666666668,475.0,0.0,2.1,0.0
2006-12-25 11:00:00,182.676,9.406,241.6805,761.8,34.86,0.0,42.24
2006-12-25 12:00:00,174.756,19.42,241.051,746.8,81.53999999999999,0.0,16.32
2006-12-25 13:00:00,133.496,12.174,242.28516666666667,568.2,67.32,2.04,0.0
2006-12-25 14:00:00,107.024,5.304,245.512,445.4,20.34,0.0,18.42
2006-12-25 15:00:00,104.42,9.538,245.83566666666667,430.6,21.599999999999998,1.26,34.5
2006-12-25 16:00:00,232.37,27.228,241.69466666666668,978.0,98.7,0.84,0.0
2006-12-25 17:00:00,124.308,17.16,239.329,525.2,13.68,0.0,15.72
2006-12-25 18:00:00,145.384,12.412,239.88916666666668,608.2,0.0,16.38,23.400000000000002
2006-12-25 19:00:00,97.77,9.22,241.32883333333334,406.6,0.0,18.299999999999997,0.0
2006-12-25 20:00:00,118.628,13.322,241.73466666666667,493.0,0.0,0.18,22.26
2006-12-25 21:00:00,230.212,8.992,238.556,968.6,26.16,59.82,62.760000000000005
2006-12-25 22:00:00,252.892,4.174,237.76049999999998,1064.6,33.0,5.34,20.46
2006-12-25 23:00:00,155.534,8.966,243.218,637.2,0.0,4.4399999999999995,0.0
2006-12-26 00:00:00,145.456,4.442,244.66566666666668,589.6,0.0,0.6599999999999999,0.0
2006-12-26 01:00:00,144.15800000000002,7.508,241.41433333333333,593.8,0.0,2.76,0.0
2006-12-26 02:00:00,144.656,2.934,245.07766666666666,585.8,0.0,0.6599999999999999,0.0
2006-12-26 03:00:00,146.944,5.026,245.51899999999998,594.6,0.0,0.6,0.0
2006-12-26 04:00:00,179.55,7.258,244.8775,730.2,0.0,2.82,31.8
2006-12-26 05:00:00,143.264,3.988,243.42466666666667,583.8000000000001,0.0,0.12,0.0
2006-12-26 06:00:00,143.292,4.048,243.405,585.6,0.0,0.8999999999999999,0.0
2006-12-26 07:00:00,188.16400000000002,6.226,239.21966666666668,785.8,0.0,1.2,8.64
2006-12-26 08:00:00,141.956,4.786,239.04966666666667,593.8,0.0,0.0,45.18
2006-12-26 09:00:00,212.704,6.804,237.28733333333332,895.6,0.0,33.18,54.0
2006-12-26 10:00:00,242.514,3.914,237.35166666666666,1019.4,0.0,0.0,62.160000000000004
2006-12-26 11:00:00,142.412,3.964,239.17933333333335,594.4,0.0,0.0,63.120000000000005
2006-12-26 12:00:00,147.882,5.802,239.4145,620.0,0.0,2.04,63.24
2006-12-26 13:00:00,173.208,9.656,239.661,726.8,0.0,0.0,63.300000000000004
2006-12-26 14:00:00,229.596,10.682,243.32566666666668,949.6,0.0,93.78,65.28
2006-12-26 15:00:00,157.776,6.05,245.31383333333332,645.0,0.0,2.28,66.24
2006-12-26 16:00:00,207.044,14.104000000000001,241.17666666666668,864.2,0.0,1.5,64.14
2006-12-26 17:00:00,200.54,6.216,237.87116666666668,843.6,0.0,2.76,62.400000000000006
2006-12-26 18:00:00,194.802,11.01,239.42183333333332,814.2,0.0,0.6,63.18
2006-12-26 19:00:00,182.04,14.678,239.4535,760.2,0.0,1.3199999999999998,63.24
2006-12-26 20:00:00,208.74,9.486,240.93533333333335,870.6,30.659999999999997,2.04,63.96
2006-12-26 21:00:00,159.504,5.602,240.85283333333334,668.6,34.5,0.6,58.86
2006-12-26 22:00:00,51.816,6.148,244.59233333333336,225.8,0.0,2.16,0.0
2006-12-26 23:00:00,46.092,4.7700000000000005,246.52033333333333,200.0,0.0,0.0,0.0
2006-12-27 00:00:00,28.978,6.386,247.76783333333333,132.8,0.0,0.0,0.0
2006-12-27 01:00:00,29.608,11.292,248.0925,140.6,0.0,2.1,0.0
2006-12-27 02:00:00,28.77,7.67,250.3425,131.6,0.0,0.0,0.0
2006-12-27 03:00:00,26.648,5.836,248.267,123.8,0.0,0.6,0.0
2006-12-27 04:00:00,28.442,8.794,247.66066666666666,134.20000000000002,0.0,1.56,0.0
2006-12-27 05:00:00,62.192,5.118,246.17783333333333,263.6,0.0,0.0,35.64
2006-12-27 06:00:00,28.464,8.712,247.7756666666667,133.2,0.0,1.68,0.0
2006-12-27 07:00:00,122.992,9.584,240.74200000000002,522.0,0.0,0.42,16.98
2006-12-27 08:00:00,129.884,6.018,240.453,538.2,0.0,0.0,63.84
2006-12-27 09:00:00,139.738,8.32,240.5115,580.2,0.0,2.04,63.78
2006-12-27 10:00:00,139.018,4.432,238.90666666666667,580.0,0.0,0.0,62.940000000000005
2006-12-27 11:00:00,78.936,3.746,240.1125,324.6,0.0,0.0,63.540000000000006
2006-12-27 12:00:00,64.70400000000001,8.768,240.82633333333334,270.8,0.0,2.1,46.2
2006-12-27 13:00:00,15.85,4.8180000000000005,243.0656666666667,71.8,0.0,0.0,0.0
2006-12-27 14:00:00,15.83,4.7379999999999995,245.23233333333334,72.6,0.0,0.12,0.0
2006-12-27 15:00:00,19.992,10.77,245.69799999999998,94.0,0.0,1.98,0.0
2006-12-27 16:00:00,17.808,8.222,246.02233333333334,79.6,0.0,0.0,0.0
2006-12-27 17:00:00,30.076,7.266,241.03366666666668,130.6,0.0,1.2,0.0
2006-12-27 18:00:00,109.464,5.482,238.36933333333334,459.8,0.0,0.8999999999999999,0.0
2006-12-27 19:00:00,104.176,10.184,239.61366666666666,441.8,0.0,0.0,0.0
2006-12-27 20:00:00,141.186,9.766,242.08166666666665,583.4,0.0,2.1,63.18000000000001
2006-12-27 21:00:00,79.784,4.79,242.7313333333333,326.8,0.0,0.0,2.46
2006-12-27 22:00:00,65.01,6.12,242.78166666666667,268.4,0.0,0.0,0.0
2006-12-27 23:00:00,21.21,12.07,246.15099999999998,100.8,0.0,2.04,0.0
2006-12-28 00:00:00,61.112,6.252,243.6835,255.60000000000002,0.0,0.0,43.56
2006-12-28 01:00:00,16.664,6.764,245.30200000000002,76.0,0.0,0.24,0.0
2006-12-28 02:00:00,18.97,10.982,248.72366666666667,88.4,0.0,1.8599999999999999,0.0
2006-12-28 03:00:00,17.928,8.97,249.20116666666667,80.8,0.0,0.0,0.0
2006-12-28 04:00:00,18.605999999999998,10.042,248.1765,86.4,0.0,1.26,0.0
2006-12-28 05:00:00,17.364,8.308,246.9515,78.4,0.0,0.84,0.0
2006-12-28 06:00:00,17.554,8.062,247.81533333333334,78.4,0.0,0.0,0.0
2006-12-28 07:00:00,62.6,11.052,243.52316666666667,268.4,0.0,2.04,7.32
2006-12-28 08:00:00,152.144,5.834,240.57583333333332,632.6,37.739999999999995,0.0,63.84
2006-12-28 09:00:00,79.292,5.728,242.63416666666666,334.0,32.879999999999995,0.0,30.180000000000003
2006-12-28 10:00:00,19.564,10.812,242.59733333333332,92.4,0.0,2.04,0.0
2006-12-28 11:00:00,16.796,5.958,242.48483333333334,77.4,0.0,0.0,0.0
2006-12-28 12:00:00,16.26,4.862,241.98766666666668,75.0,0.0,0.0,0.0
2006-12-28 13:00:00,41.918,11.164,243.444,179.6,0.0,2.1,5.88
2006-12-28 14:00:00,108.514,8.75,243.36516666666665,449.0,0.0,0.0,65.34
2006-12-28 15:00:00,94.46000000000001,6.0,244.29799999999997,386.2,0.0,0.3,65.76
2006-12-28 16:00:00,93.538,6.822,243.1735,383.0,0.0,1.7999999999999998,65.16
2006-12-28 17:00:00,145.952,11.126,237.25616666666667,617.0,0.0,0.0,62.1
2006-12-28 18:00:00,152.634,11.33,238.76933333333332,643.8,0.0,8.16,62.940000000000005
2006-12-28 19:00:00,170.91,9.024000000000001,237.39966666666666,724.0,0.0,21.18,15.84
2006-12-28 20:00:00,127.006,10.564,240.02216666666666,532.8,0.12,4.74,7.74
2006-12-28 21:00:00,302.12,9.942,237.2945,1284.4,38.4,106.44,54.9
2006-12-28 22:00:00,192.852,9.12,243.23933333333335,797.0,23.279999999999998,73.86,0.0
2006-12-28 23:00:00,127.88,11.408,246.5215,543.6,0.0,38.28,0.0
2006-12-29 00:00:00,84.56,6.082,246.29516666666666,386.0,0.0,2.28,0.0
2006-12-29 01:00:00,119.65,7.038,245.7525,522.4,0.0,1.26,32.64
2006-12-29 02:00:00,129.098,6.1,248.34433333333334,536.4,0.0,2.04,0.0
